班期日期,班期开始时间,班期结束时间,人员编号,人员姓名,车辆（车牌号）,车辆类型,任务ID,任务名称,任务日期,任务开始时间,任务结束时间,到达航班ID,出发航班ID,到达航班号,出发航班号,航站楼,区域,机位,其他位置,双机航班号,是否加班
"","2020-01-01 08:30:00","","main1","主班1","","","1","调度","","2020-01-01 08:30:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","10","国内厅内早班","","2020-01-01 05:30:00","2020-01-01 08:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","8","国际厅内早班","","2020-01-01 06:00:00","2020-01-01 14:00:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","12","国内厅内09:30-10:30","","2020-01-01 09:30:00","2020-01-01 10:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","13","国内厅内10:30-11:30","","2020-01-01 10:30:00","2020-01-01 11:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","operation_37800_31","操作间任务","","2020-01-01 10:30:00","2020-01-01 11:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","14","国内厅内11:30-12:30","","2020-01-01 11:30:00","2020-01-01 12:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","15","国内厅内12:30-13:30","","2020-01-01 12:30:00","2020-01-01 13:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","operation_45000_31","操作间任务","","2020-01-01 12:30:00","2020-01-01 13:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","16","国内厅内13:30-14:30","","2020-01-01 13:30:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","9","国际厅内晚班","","2020-01-01 14:00:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","39","外场（国际进港-多人）","","2020-01-01 15:00:00","2020-01-01 15:40:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","18","国内厅内15:30-16:30","","2020-01-01 15:30:00","2020-01-01 16:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","19","国内厅内16:30-17:30","","2020-01-01 16:30:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","20","国内厅内17:30-18:30","","2020-01-01 17:30:00","2020-01-01 18:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","21","国内厅内18:30-19:30","","2020-01-01 18:30:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","operation_66600_31","操作间任务","","2020-01-01 18:30:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","22","国内厅内19:30-20:30","","2020-01-01 19:30:00","2020-01-01 20:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main2","主班2","","","operation_73800_31","操作间任务","","2020-01-01 20:30:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","10","国内厅内早班","","2020-01-01 05:30:00","2020-01-01 08:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","operation_30600_31","操作间任务","","2020-01-01 08:30:00","2020-01-01 09:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","12","国内厅内09:30-10:30","","2020-01-01 09:30:00","2020-01-01 10:30:00","","","","","","","","","","否"
