班期日期,班期开始时间,班期结束时间,人员编号,人员姓名,车辆（车牌号）,车辆类型,任务ID,任务名称,任务日期,任务开始时间,任务结束时间,到达航班ID,出发航班ID,到达航班号,出发航班号,航站楼,区域,机位,其他位置,双机航班号,是否加班
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","4","国内前台协助2","2025-11-21","2025-11-21 06:30:00","2025-11-21 07:30:00","","","","","","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","3","国内前台协助","2025-11-21","2025-11-21 07:00:00","2025-11-21 08:00:00","","","","","","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","2","国内前台","2025-11-21","2025-11-21 08:30:00","2025-11-21 09:30:00","","","","","","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","1","调度","2025-11-21","2025-11-21 08:30:00","2025-11-21 09:30:00","","","","","","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","24","外场（国内出港-少人）","2025-11-21","2025-11-21 09:00:00","2025-11-21 10:30:00","","","","CA1001","T1","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","25","外场（国内出港-多人）","2025-11-21","2025-11-21 09:30:00","2025-11-21 11:00:00","","","","CA1002","T1","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","26","外场（国内进港-少人）","2025-11-21","2025-11-21 10:45:00","2025-11-21 11:20:00","","","","","","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","27","外场（国内进港-多人）","2025-11-21","2025-11-21 11:00:00","2025-11-21 11:40:00","","","","","","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","33","外场（国际出港-少人）","2025-11-21","2025-11-21 13:00:00","2025-11-21 14:30:00","","","","CA2006","T1","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","28","外场（国际出港-少人）","2025-11-21","2025-11-21 13:00:00","2025-11-21 14:30:00","","","","CA2001","T1","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","29","外场（国际出港-少人）","2025-11-21","2025-11-21 13:25:00","2025-11-21 14:30:00","","","","CA2002","T1","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","34","外场（国际出港-少人）","2025-11-21","2025-11-21 13:25:00","2025-11-21 14:30:00","","","","CA2007","T1","","","","","否"
"2025-11-21","2025-11-21 06:30:00","2025-11-21 22:00:00","main1","主班1","","","38","外场（国际进港-少人）","2025-11-21","2025-11-21 14:45:00","2025-11-21 15:20:00","","","","","","","","","","否"
